City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Riyadh,SA,2021-07-14 02:06:59,24.6877,46.7219,86.14,18,100,2.44
68,Miquelon,PM,2021-07-14 02:09:35,47.0975,-56.3814,55.96,79,2,12.24
69,Heidenau,DE,2021-07-14 02:09:36,50.9722,13.8674,67.75,95,75,3.44
70,Cape Town,ZA,2021-07-14 02:09:12,-33.9258,18.4232,49.12,82,64,1.99
71,Tanete,ID,2021-07-14 02:09:36,-3.9443,119.7848,82.63,69,76,8.93
72,Redlands,US,2021-07-14 02:09:36,34.0556,-117.1825,98.65,43,44,4.0
73,Tasiilaq,GL,2021-07-14 02:09:36,65.6145,-37.6368,44.76,95,94,5.32
74,Kapaa,US,2021-07-14 02:09:37,22.0752,-159.319,84.52,74,75,1.99
75,Avarua,CK,2021-07-14 02:09:37,-21.2078,-159.775,80.65,69,40,9.22
76,Mount Gambier,AU,2021-07-14 02:09:37,-37.8333,140.7667,53.51,94,90,16.11
77,Vestmannaeyjar,IS,2021-07-14 02:09:37,63.4427,-20.2734,52.09,85,100,15.23
78,El Alto,PE,2021-07-14 02:09:37,-4.2714,-81.2147,65.73,85,18,17.6
79,Airai,TL,2021-07-14 02:09:38,-8.9266,125.4092,71.17,50,100,4.83
80,Dhidhdhoo,MV,2021-07-14 02:09:38,6.8833,73.1,82.24,81,33,15.03
81,Ornskoldsvik,SE,2021-07-14 02:09:38,63.2909,18.7153,57.02,100,72,2.3
82,Clyde River,CA,2021-07-14 02:09:38,70.4692,-68.5914,40.1,93,98,5.59
83,Vijes,CO,2021-07-14 02:09:39,3.6993,-76.4423,71.58,78,40,4.61
84,Calama,CL,2021-07-14 02:09:39,-22.4667,-68.9333,50.49,20,100,5.75
85,Dingle,PH,2021-07-14 02:09:39,10.9995,122.6711,85.39,71,66,5.17
86,Beloha,MG,2021-07-14 02:09:39,-25.1667,45.05,63.18,76,0,4.63
87,Rocha,UY,2021-07-14 02:09:27,-34.4833,-54.3333,52.52,90,100,6.31
88,Carutapera,BR,2021-07-14 02:09:40,-1.195,-46.02,75.52,95,89,5.55
89,Thompson,CA,2021-07-14 02:09:40,55.7435,-97.8558,68.59,38,77,2.66
90,Itarema,BR,2021-07-14 02:09:40,-2.9248,-39.9167,78.8,80,53,12.77
91,Ilulissat,GL,2021-07-14 02:09:40,69.2167,-51.1,50.02,81,75,11.5
92,Cherskiy,RU,2021-07-14 02:09:41,68.75,161.3,41.59,88,100,2.86
93,Grindavik,IS,2021-07-14 02:09:41,63.8424,-22.4338,49.55,93,75,13.8
94,Longyearbyen,SJ,2021-07-14 02:09:41,78.2186,15.6401,39.04,87,75,10.36
95,Kalino,RU,2021-07-14 02:09:41,58.2504,57.6085,50.23,63,14,2.62
96,Severobaykalsk,RU,2021-07-14 02:09:42,55.65,109.3167,65.16,54,100,6.96
97,Barrow,US,2021-07-14 02:09:42,71.2906,-156.7887,33.82,86,90,10.36
98,Victoria,HK,2021-07-14 02:09:42,22.2855,114.1577,92.97,78,40,5.99
99,Ngunguru,NZ,2021-07-14 02:09:42,-35.6167,174.5,60.17,53,5,10.49
100,Pekan,MY,2021-07-14 02:09:43,3.4836,103.3996,75.29,80,100,2.84
101,Victor Harbor,AU,2021-07-14 02:09:43,-35.5667,138.6167,62.47,81,99,1.99
102,Camandag,PH,2021-07-14 02:09:43,10.3333,123.0667,84.87,73,77,2.48
103,Narsaq,GL,2021-07-14 02:09:44,60.9167,-46.05,50.22,75,100,2.33
104,Aripuana,BR,2021-07-14 02:09:44,-9.1667,-60.6333,73.0,50,11,2.17
105,Talnakh,RU,2021-07-14 02:09:44,69.4865,88.3972,44.46,58,87,4.54
106,Vostok,RU,2021-07-14 02:09:44,46.4856,135.8833,86.5,48,71,4.14
107,Alofi,NU,2021-07-14 02:09:45,-19.0595,-169.9187,82.29,74,75,10.36
108,Schmolln,DE,2021-07-14 02:09:45,50.9,12.3667,65.75,92,90,6.91
109,Kushiro,JP,2021-07-14 02:09:45,42.975,144.3747,61.75,94,75,9.22
110,Cayenne,GF,2021-07-14 02:09:45,4.9333,-52.3333,81.09,84,90,1.01
111,Necochea,AR,2021-07-14 02:09:46,-38.5473,-58.7368,44.33,69,0,4.29
112,Sunel,IN,2021-07-14 02:09:46,24.3667,75.9667,89.1,53,11,8.88
113,Saskylakh,RU,2021-07-14 02:09:46,71.9167,114.0833,45.77,51,100,18.9
114,Pagudpud,PH,2021-07-14 02:09:46,18.5616,120.7868,87.39,66,100,4.7
115,Hilo,US,2021-07-14 02:06:26,19.7297,-155.09,81.25,68,20,12.66
116,Tiznit,MA,2021-07-14 02:09:47,29.5833,-9.5,78.08,34,25,2.04
117,Placido De Castro,BR,2021-07-14 02:09:47,-10.3353,-67.1856,77.13,49,6,2.21
118,Bethel,US,2021-07-14 02:09:47,41.3712,-73.414,70.36,93,90,4.61
119,Kudahuvadhoo,MV,2021-07-14 02:09:47,2.6708,72.8944,81.1,77,100,3.94
120,Harper,LR,2021-07-14 02:09:48,4.375,-7.7169,76.64,78,69,10.29
121,Comodoro Rivadavia,AR,2021-07-14 02:09:48,-45.8667,-67.5,44.46,76,0,0.0
122,Santiago Del Estero,AR,2021-07-14 02:09:48,-27.7951,-64.2615,61.81,68,100,9.82
123,Myronivka,UA,2021-07-14 02:09:49,49.6601,30.9823,67.26,81,0,1.43
124,Kjollefjord,NO,2021-07-14 02:09:49,70.9457,27.3465,50.54,95,99,15.9
125,Sassandra,CI,2021-07-14 02:09:49,4.95,-6.0833,74.61,89,66,6.69
126,Nikolskoye,RU,2021-07-14 02:09:49,59.7035,30.7861,70.02,88,98,0.51
127,Slave Lake,CA,2021-07-14 02:09:50,55.2834,-114.769,75.18,46,1,10.36
128,Morant Bay,JM,2021-07-14 02:09:50,17.8815,-76.4093,85.62,86,15,10.22
129,Labuhan,ID,2021-07-14 02:09:50,-6.8844,112.2051,80.64,64,100,5.95
130,Chunoyar,RU,2021-07-14 02:09:50,57.4467,97.3217,74.3,49,100,3.8
131,Kaitangata,NZ,2021-07-14 02:09:51,-46.2817,169.8464,46.92,61,97,5.32
132,Vigrestad,NO,2021-07-14 02:09:51,58.5667,5.7,62.58,87,100,12.06
133,Port Alfred,ZA,2021-07-14 02:09:51,-33.5906,26.891,50.54,70,76,19.39
134,Mount Isa,AU,2021-07-14 02:05:15,-20.7333,139.5,78.57,27,4,8.05
135,Bambous Virieux,MU,2021-07-14 02:09:51,-20.3428,57.7575,66.22,80,28,13.82
136,Kastamonu,TR,2021-07-14 02:09:52,41.5,33.6667,55.65,86,0,3.11
137,Qaanaaq,GL,2021-07-14 02:09:52,77.484,-69.3632,39.65,82,100,3.6
138,Denpasar,ID,2021-07-14 02:09:24,-8.65,115.2167,82.06,74,20,16.11
139,Fairbanks,US,2021-07-14 02:09:52,64.8378,-147.7164,81.01,38,90,1.01
140,Bathsheba,BB,2021-07-14 02:09:52,13.2167,-59.5167,81.21,78,40,16.11
141,Norman Wells,CA,2021-07-14 02:09:53,65.282,-126.8329,78.87,34,98,11.23
142,Hualmay,PE,2021-07-14 02:09:53,-11.0964,-77.6139,63.73,85,38,11.25
143,Kharp,RU,2021-07-14 02:09:53,66.8014,65.8081,49.68,59,7,4.34
144,Avera,US,2021-07-14 02:09:54,33.194,-82.5271,77.76,66,80,5.55
145,Baley,RU,2021-07-14 02:09:54,51.6,116.6333,62.11,93,100,7.85
146,Faanui,PF,2021-07-14 02:09:54,-16.4833,-151.75,80.42,71,4,16.31
147,Maragogi,BR,2021-07-14 02:09:54,-9.0122,-35.2225,74.14,86,25,6.26
148,Shangrao,CN,2021-07-14 02:09:55,28.4532,117.9686,91.33,62,100,1.48
149,Newport,GB,2021-07-14 02:09:55,51.5877,-2.9984,61.86,86,94,2.66
150,Katsuura,JP,2021-07-14 02:09:55,35.1333,140.3,78.91,78,92,7.61
151,Lagoa,PT,2021-07-14 02:09:55,39.05,-27.9833,68.65,79,97,15.01
152,Thinadhoo,MV,2021-07-14 02:09:56,0.5333,72.9333,81.48,73,5,2.53
153,Turukhansk,RU,2021-07-14 02:09:56,65.8167,87.9833,49.03,51,88,7.7
154,Bagotville,AU,2021-07-14 02:09:56,-28.9833,153.4167,71.64,59,78,6.26
155,Pochutla,MX,2021-07-14 02:09:56,15.7432,-96.4661,81.82,87,80,3.96
156,Lebu,CL,2021-07-14 02:09:57,-37.6167,-73.65,47.34,80,1,14.05
157,Samarai,PG,2021-07-14 02:09:57,-10.6167,150.6667,79.27,87,55,15.9
158,Astoria,US,2021-07-14 02:05:09,46.1879,-123.8313,70.86,82,75,4.0
159,Tiksi,RU,2021-07-14 02:09:57,71.6872,128.8694,54.48,92,98,15.28
160,Oparino,RU,2021-07-14 02:09:57,59.8518,48.2783,58.26,82,96,2.75
161,Jamestown,US,2021-07-14 02:09:58,42.097,-79.2353,71.19,97,1,4.0
162,Serpukhov,RU,2021-07-14 02:07:43,54.9214,37.4108,73.42,78,0,4.85
163,Berdigestyakh,RU,2021-07-14 02:09:58,62.0989,126.6992,78.76,33,2,6.33
164,San Patricio,US,2021-07-14 02:09:58,28.017,-97.5169,84.29,78,39,8.7
165,Hofn,IS,2021-07-14 02:09:58,64.2539,-15.2082,52.32,78,100,10.47
166,Tromso,NO,2021-07-14 02:05:05,69.6496,18.957,52.45,93,90,0.0
167,Nehe,CN,2021-07-14 02:09:59,48.4833,124.8333,74.86,94,100,15.26
168,Castro,BR,2021-07-14 02:09:59,-24.7911,-50.0119,54.73,67,100,2.15
169,Pisco,PE,2021-07-14 02:09:59,-13.7,-76.2167,63.01,86,75,3.2
170,Floro,NO,2021-07-14 02:09:59,61.5996,5.0328,64.36,82,90,3.44
171,Luau,AO,2021-07-14 02:10:00,-10.7073,22.2247,56.32,50,3,4.47
172,Chuy,UY,2021-07-14 02:10:00,-33.6971,-53.4616,55.22,90,100,8.66
173,Muravlenko,RU,2021-07-14 02:10:00,63.7898,74.523,46.29,57,98,17.22
174,Trairi,BR,2021-07-14 02:06:46,-3.2778,-39.2689,77.4,83,93,9.82
175,Baker City,US,2021-07-14 02:10:00,44.7749,-117.8344,89.15,26,90,11.5
176,New Norfolk,AU,2021-07-14 02:10:01,-42.7826,147.0587,51.93,88,100,1.5
177,Tubuala,PA,2021-07-14 02:10:01,9.5167,-79.0333,80.71,86,100,4.41
178,Truth Or Consequences,US,2021-07-14 02:10:01,33.1284,-107.2528,88.03,29,1,11.5
179,Praia Da Vitoria,PT,2021-07-14 02:10:02,38.7333,-27.0667,69.76,91,79,9.13
180,Half Moon Bay,US,2021-07-14 02:10:02,37.4636,-122.4286,74.75,78,20,12.66
181,Bundaberg,AU,2021-07-14 02:10:02,-24.85,152.35,70.38,59,47,9.82
182,Padang,ID,2021-07-14 02:10:03,-0.9492,100.3543,77.05,59,99,1.74
183,Kaa-Khem,RU,2021-07-14 02:10:04,51.6833,94.7333,71.76,52,15,2.84
184,Trincomalee,LK,2021-07-14 02:10:04,8.5711,81.2335,81.46,77,100,18.37
185,Nueva Germania,PY,2021-07-14 02:10:04,-23.9,-56.5667,68.97,40,97,4.61
186,Waingapu,ID,2021-07-14 02:10:05,-9.6567,120.2641,83.88,50,6,15.61
187,Selma,US,2021-07-14 02:10:05,36.5708,-119.6121,106.03,9,0,1.05
188,Zhuhai,CN,2021-07-14 02:10:05,22.2769,113.5678,92.71,74,20,8.05
189,Torbay,CA,2021-07-14 02:10:06,47.6666,-52.7314,48.27,88,6,5.66
190,Eureka,US,2021-07-14 02:10:06,40.8021,-124.1637,59.58,81,13,1.01
191,Kloulklubed,PW,2021-07-14 02:10:06,7.0419,134.2556,82.9,84,100,11.56
192,Sovetskiy,RU,2021-07-14 02:10:07,61.3614,63.5842,51.39,56,4,3.49
193,Plettenberg Bay,ZA,2021-07-14 02:10:07,-34.0527,23.3716,47.07,76,30,7.49
194,Mayumba,GA,2021-07-14 02:10:07,-3.432,10.6554,70.2,90,13,4.94
195,Omboue,GA,2021-07-14 02:10:07,-1.5746,9.2618,71.62,84,12,7.65
196,Ostrovnoy,RU,2021-07-14 02:10:08,68.0531,39.5131,55.56,72,76,5.35
197,Luanda,AO,2021-07-14 02:07:01,-8.8368,13.2343,71.6,88,75,8.05
198,Brus Laguna,HN,2021-07-14 02:10:08,15.75,-84.4833,76.5,96,100,5.37
199,Aguimes,ES,2021-07-14 02:10:08,27.9054,-15.4461,75.83,29,20,25.32
